Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
R. Quaison;27;Sweden;74;Ettifaq FC;4.9M;Right;22;CAM
Gilberto;28;Brazil;74;SL Benfica;3.8M;Right;2;RB
15 Nenê;32;Brazil;76;West Ham United;3.7M;Left;12;LW
A. Kuen;26;Austria;69;SK Sturm Graz;1.6M;Left;19;LM
Camilo Sanvezzo;32;Brazil;74;Mazatlán Futbol Club;3.4M;Right;7;ST
Rodrigo Vuarte;29;Brazil;77;Clube Atlético Mineiro;9M;Left;27;CDM
A. Tettey;35;Norway;70;Rosenborg BK;450K;Right;6;CB
Alexo Baia;33;Brazil;77;Clube Atlético Mineiro;5.5M;Right;18;RB
E. Aguirre;24;Mexico;73;CF Monterrey ;6M;Right;14;RWB
A. Escoboza;28;Mexico;69;Club Necaxa;1.3M;Left;22;LB
C. De Norre;24;Belgium;71;Oud-Heverlee Leuven;2.6M;Right;24;RWB
Hwang Ui Jo;28;Korea Republic;76;FC Girondins de Bordeaux;7.5M;Right;18;ST
17 M. Chamakh;32;Morocco;71;Cardiff City;1.3M;Right;27;ST
D. Rolán;28;Uruguay;72;Fútbol Club Juárez;2.4M;Right;9;RW
O. Kragl;30;Germany;73;Benevento;2.9M;Left;11;LM
21 Álex Martínez;29;Spain;74;Granada CF;3.7M;Left;3;LB
Rafa Mir;24;Spain;77;Sevilla FC;21.5M;Right;12;ST
21 Y. Aït Bennasser;23;Morocco;73;AS Monaco;4.3M;Right;41;CM
Medrán;27;Spain;73;Chicago Fire Football Club;3.5M;Right;10;CM
Moreto Cassamá;23;Guinea Bissau;70;Stade de Reims;3.3M;Right;23;CM
21 G. Castro;35;Uruguay;75;Club Nacional de Football;2.3M;Left;11;LM
20 Lucas Silva;26;Brazil;74;Real Madrid CF;6.5M;Right;29;CDM
M. Terrier;24;France;77;Stade Rennais FC;15.5M;Right;7;ST
W. Weghorst;28;Netherlands;83;VfL Wolfsburg;37M;Right;9;ST
G. Reyna;18;United States;77;Borussia Dortmund;22M;Right;7;CAM
R. Fredericks;28;England;76;West Ham United;7M;Right;24;RB
T. Minamino;26;Japan;75;Liverpool;6.5M;Right;18;RW
Vinícius Jr.;20;Brazil;80;Real Madrid CF;46.5M;Right;20;RM
E. Cardona;28;Colombia;77;Boca Juniors;10.5M;Right;8;CAM
Lee Seung Gi;33;Korea Republic;71;Jeonbuk Hyundai Motors;1.2M;Right;14;CAM
H. Villalba;26;Paraguay;74;Club Libertad;4.6M;Left;23;RM
Jason;26;Spain;73;Valencia CF;3.3M;Right;23;RM
E. Prib;31;Russia;70;Fortuna Düsseldorf;1.3M;Left;6;CM
L. Fernández;30;Argentina;73;Club Nacional de Football;3M;Right;18;CF
N. Domínguez;31;Argentina;74;Racing Club;2.9M;Right;23;CB
A. Esaka;29;Japan;70;Urawa Red Diamonds;1.6M;Right;33;RW
C. Dagba;22;France;76;Paris Saint-Germain;10M;Right;17;RB
J. Angulo;32;Colombia;75;Deportivo Cali;3.9M;Right;13;RB
L. Jiménez;37;Chile;75;Club Deportivo Palestino;1.8M;Right;10;CAM
L. Fuentes;34;Mexico;72;Club América;850K;Left;2;LB
S. Kitsiou;27;Greece;72;Gazişehir Gaziantep F.K.;2.3M;Right;70;RB
F. Tudor;25;Croatia;69;Raków Częstochowa;1.7M;Right;7;RM
20 Gelson Fernandes;32;Switzerland;76;Eintracht Frankfurt;5M;Right;5;CDM
Lucas Fernandes;23;Brazil;72;Portimonense SC;4.7M;Right;8;CAM
21 B. Addae;27;Ghana;64;AFC Hermannstadt;625K;Right;90;CB
H. Maïga;25;Côte d'Ivoire;75;FC Metz;6.5M;Right;19;CDM
A. Traustason;28;Iceland;70;New England Revolution;1.6M;Right;25;LM
S. de Jong;32;Netherlands;69;SC Heerenveen;1.1M;Right;6;ST
D. Batallini;25;Argentina;74;Club Atlético de San Luis;5.5M;Right;10;RM
C. Domínguez;26;Paraguay;74;Austin FC;4.6M;Right;10;LM
Li Xuepeng;32;China PR;71;Guangzhou FC;1.3M;Left;35;LB
V. Hammershøy-Mistrati;29;Denmark;69;Randers FC;1.4M;Right;20;CM
G. Brugman;28;Uruguay;72;Real Oviedo;2.3M;Right;15;CM
Otávio;27;Brazil;76;FC Girondins de Bordeaux;8M;Right;5;CDM
A. Băluță;26;Romania;72;;0;Right;25;RW
21 A. Guliev;23;Russia;69;Spartak Moskva;2.1M;Right;5;CAM
21 F. Gago;34;Argentina;73;Vélez Sarsfield;1M;Right;6;CDM
T. Inui;33;Japan;75;Cerezo Osaka;3.5M;Right;23;LM
P. Aguilar;35;Mexico;70;Fútbol Club Juárez;500K;Right;22;RB
Dodô;22;Brazil;73;Shakhtar Donetsk;6.5M;Right;2;RB
Deulofeu;27;Spain;79;Udinese Calcio;18.5M;Right;10;LM
Tomás Pina;33;Spain;76;Deportivo Alavés;4.6M;Right;8;CM
C. Baumgartner;21;Austria;78;TSG Hoffenheim;22.5M;Right;14;CAM
J. Faussurier;34;France;71;Stade Brestois 29;700K;Right;22;CM
M. Al Buraik;28;Saudi Arabia;72;Al Hilal;2.1M;Right;2;RB
V. Germain;31;France;74;Montpellier Hérault SC;3.6M;Right;9;ST
D. Yedlin;27;United States;72;Galatasaray SK;2.3M;Right;2;RB
David Neres;24;Brazil;79;Ajax;25M;Left;7;CAM
20 D. Zurutuza;32;France;75;Real Sociedad;5M;Right;17;CM
G. Trauner;29;Austria;76;Feyenoord;6.5M;Right;18;CB
J. Cuffaut;33;France;70;Valenciennes FC;750K;Right;14;CB
C. Bernardi;31;Argentina;73;Club Atlético Colón;2.5M;Right;23;RM
21 V. Birsa;33;Slovenia;73;Cagliari;1.9M;Left;50;CAM
J. Morris;26;United States;74;Seattle Sounders FC;4.6M;Right;13;ST
K. El Ahmadi;36;Morocco;74;Al Ittihad;825K;Right;20;CDM
21 N. Aguirre;29;Argentina;68;Atlético Tucumán;1.2M;Left;19;CAM
A. El Messaoudi;25;Morocco;72;Gazişehir Gaziantep F.K.;3.1M;Right;18;CAM
Aketxe;27;Spain;71;SD Eibar;2M;Left;22;CAM
F. Selemani;27;Comoros;71;KV Kortrijk;2.2M;Right;10;CAM
A. Cubas;25;Paraguay;75;Nîmes Olympique;7M;Right;18;CDM
Soares;30;Brazil;77;Olympiacos CFP;10.5M;Right;29;ST
20 I. Strinić;31;Croatia;73;AC Milan;2.9M;Left;23;LB
21 André Sousa;29;Portugal;68;Gazişehir Gaziantep F.K.;1.2M;Left;28;CM
J. Sierra;24;Ecuador;71;Tigres U.A.N.L.;3.7M;Right;35;CM
J. Makengo;23;France;70;Udinese Calcio;3.5M;Left;6;CM
Marcos Júnior;28;Brazil;73;Yokohama F. Marinos;3.1M;Right;10;RW
18 A. Rukavina;33;Serbia;76;Villarreal CF;3M;Right;22;RB
F. Andone;28;Romania;73;Cádiz CF;3.1M;Right;17;ST
F. Forestieri;31;Italy;72;Udinese Calcio;1.9M;Right;45;CAM
M. Cafaro;24;France;74;Stade de Reims;6M;Right;24;CAM
J. Martínez;28;Venezuela;80;Atlanta United;21.5M;Right;7;ST
M. Pack;30;England;72;Cardiff City;2M;Right;21;CDM
K. Noborizato;30;Japan;71;Kawasaki Frontale;1.6M;Left;2;LB
L. Brattan;31;Australia;69;Sydney FC;975K;Right;26;CDM
J. Harrison;24;England;78;Leeds United;22M;Left;22;LM
Johnathan;31;Brazil;74;GwangJu FC;3.6M;Right;9;ST
Costinha;28;Portugal;68;Santa Clara;1.2M;Right;11;CAM
M. Gonalons;32;France;76;Granada CF;5M;Right;4;CDM
G. Docherty;24;Scotland;68;Hull City;1.8M;Right;8;CM
A. Grassi;26;Italy;73;Cagliari;4M;Right;27;CM
Y. Neyou;24;Cameroon;75;AS Saint-Étienne;8M;Right;19;CM
L. Öztunalı;25;Germany;72;1. FC Union Berlin;2.8M;Right;7;RM
M. Diouf;33;Senegal;73;Atakaş Hatayspor;1.9M;Right;92;ST
F. Orellana;34;Chile;77;Real Valladolid CF;4.9M;Right;12;CAM
Andy;31;Spain;70;Burgos CF;1.1M;Left;17;CDM
21 H. Rodallega;34;Colombia;74;Denizlispor;2.1M;Right;7;ST
J. Narváez;26;Colombia;72;Real Zaragoza;3.1M;Right;7;ST
19 S. Muntari;33;Ghana;72;Albacete BP;1.3M;Left;6;CB
J. Kenny;24;England;74;Everton;4.8M;Right;2;RB
A. Boupendza;23;Gabon;76;Atakaş Hatayspor;10M;Left;9;ST
J. Deminguet;23;France;70;Stade Malherbe Caen;2.5M;Left;8;CAM
A. Konradsen;30;Norway;66;Rosenborg BK;825K;Right;8;CB
21 J. Beausejour;36;Chile;69;;0;Left;15;LB
J. Martínez;34;Mexico;71;Cruz Azul;700K;Right;12;RB
S. Al Ghannam;27;Saudi Arabia;72;Al Nassr;2.5M;Right;2;RB
D. González;27;Paraguay;74;Club Olimpia;4.5M;Right;10;LM
J. Osorio;29;Canada;72;Toronto FC;2.3M;Right;21;CM
J. Pastore;32;Argentina;78;Elche CF;11M;Right;15;CAM
M. Wanitzek;28;Germany;70;Karlsruher SC;1.6M;Right;10;RM
Arturo Inálcio;21;Brazil;78;Flamengo;16.5M;Right;21;CM
20 B. Sagna;36;France;71;Club de Foot Montréal;425K;Right;33;CB
M. Olsson;33;Sweden;71;Malmö FF;975K;Left;13;LB
H. Afful;35;Ghana;69;Columbus Crew;425K;Right;25;RB
E. Tapsoba;22;Burkina Faso;81;Bayer 04 Leverkusen;48.5M;Right;12;CB
J. Koundé;22;France;83;Sevilla FC;53M;Right;23;CB
21 A. Gomaa;24;Egypt;70;;0;Left;23;LWB
K. Onisiwo;29;Austria;73;1. FSV Mainz 05;3M;Right;9;ST
17 Doka;31;Brazil;76;İstanbul Başakşehir FK;4.3M;Right;10;RM
Adama Traoré;25;Spain;78;Wolverhampton Wanderers;18.5M;Right;37;RM
H. De La Fuente;24;Argentina;71;Futebol Clube de Famalicão;2.5M;Right;22;RWB
16 Luan;24;Brazil;77;Clube Atlético Mineiro;9M;Right;27;RW
William Carvalho;29;Portugal;79;Real Betis Balompié;15M;Right;14;CDM
F. Krovinović;25;Croatia;72;Hajduk Split;2.9M;Right;23;CAM
L. O'Nien;26;England;67;Sunderland;1.2M;Right;13;RWB
L. Koutris;25;Greece;72;Fortuna Düsseldorf;2.7M;Left;22;LB
Leo Vimieiro;25;Brazil;75;São Paulo;5.5M;Left;2;LB
C. Battocchio;29;Italy;69;Club Universidad Nacional;1.4M;Right;22;CAM
Kang Sang Woo;27;Korea Republic;72;Pohang Steelers;2.5M;Right;10;LB
E. Hernández;33;Mexico;74;Club León;2.6M;Right;11;RM
R. Vloet;26;Netherlands;72;Heracles Almelo;2.9M;Right;10;ST
21 Tarantini;36;Portugal;71;Rio Ave FC;600K;Right;8;CM
Andrei Girotto;29;Brazil;75;FC Nantes;4.7M;Right;3;CB
P. Aquino;26;Peru;76;Club América;9.5M;Right;5;CDM
D. Stephens;32;England;73;Burnley;2M;Right;16;CDM
C. Cásseres Jr;21;Venezuela;71;New York Red Bulls;4M;Right;23;CDM
Samu Castillejo;26;Spain;77;AC Milan;11.5M;Left;7;RW
R. Raveloson;24;Madagascar;69;LA Galaxy;2M;Right;6;CM
17 M. Delgado;33;Argentina;77;FC Basel 1893;4.5M;Right;10;CAM
P. Schick;25;Czech Republic;79;Bayer 04 Leverkusen;23.5M;Left;14;ST
Fernando Boldrin;32;Brazil;72;Çaykur Rizespor;1.9M;Left;10;CAM
J. Murphy;26;England;72;Newcastle United;2.8M;Right;23;RM
S. Ciss;32;Senegal;70;AS Nancy Lorraine;1.1M;Left;23;LB
19 E. Arévalo Ríos;36;Uruguay;73;;0;Right;20;CDM
G. Letizia;31;Italy;73;Benevento;2.2M;Right;3;RB
H. Behrens;31;Germany;69;F.C. Hansa Rostock;1.1M;Right;17;CB
21 L. Cigarini;34;Italy;72;Crotone;1.1M;Right;8;CM
M. Andersen;22;Denmark;72;FC Nordsjælland;4.7M;Right;8;CM
R. Manning;25;Republic of Ireland;72;Swansea City;3M;Left;3;LWB
L. Marrone;31;Italy;70;AC Monza;1.1M;Right;99;CM
C. Doucouré;21;Mali;75;Racing Club de Lens;8.5M;Right;28;CM
L. Jović;23;Serbia;79;Real Madrid CF;27M;Right;16;ST
K. Vogt;29;Germany;76;TSG Hoffenheim;6.5M;Right;22;CDM
14 Y. Benayoun;33;Israel;76;Queens Park Rangers;1.9M;Right;35;CAM
S. Jovetić;31;Montenegro;77;Hertha BSC;9M;Right;19;CF
M. Gómez;24;Uruguay;80;Valencia CF;32M;Right;9;ST
D. Martínez;23;Paraguay;74;River Plate;8M;Left;6;CB
21 Pedro López;36;Spain;72;SD Huesca;525K;Right;19;RB
20 E. Garay;32;Argentina;83;Valencia CF;16.5M;Right;24;CB
Iago;24;Brazil;75;FC Augsburg;7.5M;Left;22;LB
11 Beto;28;Brazil;74;Bucaspor;0;Right;25;ST
Bruno Tabata;24;Brazil;75;Sporting CP;9M;Left;7;LM
A. Rinomhota;24;England;71;Reading;2.6M;Right;8;CDM
J. Gouweleeuw;29;Netherlands;76;FC Augsburg;6.5M;Right;6;CB
Claudio Coíntra;25;Brazil;77;Palmeiras;11.5M;Left;23;CAM
S. Guirassy;25;France;77;Stade Rennais FC;15M;Right;9;ST
E. Insúa;32;Argentina;70;Club Atlético Aldosivi;1.1M;Left;26;LB
Eraso;31;Spain;74;CD Leganés;3.5M;Right;17;CM
21 Zizo;24;Egypt;72;;0;Right;21;RM
M. Tekdemir;33;Turkey;73;İstanbul Başakşehir FK;1.5M;Right;21;CDM
R. Woods;27;England;70;Birmingham City;1.7M;Right;6;RWB
Diogo Figueiras;30;Portugal;72;Futebol Clube de Famalicão;2M;Right;90;RB
20 G. Díaz;31;Argentina;68;Club Atlético Colón;650K;Right;18;CM
N. Skubic;32;Slovenia;73;İttifak Holding Konyaspor;2.1M;Right;89;RB
M. Ninković;36;Serbia;74;Sydney FC;1.4M;Right;10;CAM
K. Baldé;26;Senegal;76;Cagliari;10M;Right;9;RM
B. Ocampo;22;Uruguay;74;Club Nacional de Football;9.5M;Right;7;RM
Balenziaga;33;Spain;75;Athletic Club de Bilbao;2.9M;Left;24;LB
M. Meli;29;Argentina;69;Racing Club;1.4M;Right;31;CM
A. Isak;21;Sweden;82;Real Sociedad;45M;Right;19;ST
L. de Jong;30;Netherlands;79;FC Barcelona;17M;Right;17;ST
Y. Méïté;25;Côte d'Ivoire;72;Reading;3.3M;Left;11;ST
B. Oczipka;32;Germany;71;1. FC Union Berlin;1.3M;Left;20;LB
J. Fuchs;23;Cameroon;68;Dundee United;1.7M;Right;66;CDM
Willian José;29;Brazil;78;Real Betis Balompié;14M;Right;12;ST
19 E. Bauthéac;30;France;74;Brisbane Roar;5.5M;Left;11;RM
Pere Pons;28;Spain;75;Deportivo Alavés;5.5M;Right;20;CM
B. Lozano;27;Uruguay;75;Santos Laguna;6M;Right;15;LM
S. Sydorchuk;30;Ukraine;75;Dynamo Kyiv;4.7M;Right;5;CDM
21 J. Botaka;27;Congo DR;70;Royal Charleroi S.C.;1.7M;Right;7;RW
18 M. Motta;31;Italy;73;Unión Deportiva Almería;2.6M;Right;7;RB
G. Bou;31;Argentina;76;New England Revolution;6.5M;Right;7;ST
M. Kieftenbeld;31;Netherlands;68;Millwall;850K;Right;6;CB
B. Osborn;26;England;72;Sheffield United;2.5M;Left;23;LWB
21 G. Ramírez;29;Uruguay;76;U.C. Sampdoria;7.5M;Left;11;CAM
18 B. Ruíz;31;Costa Rica;76;Sporting CP;7M;Left;20;CAM
M. Barthelmé;32;France;70;En Avant de Guingamp;1.3M;Left;28;LM
J. King;29;Norway;75;Watford;5.5M;Right;7;ST
14 Alex;35;Brazil;80;Coritiba;3.6M;Left;10;CAM
Rubén Pérez;32;Spain;74;Panathinaikos FC;3.3M;Right;17;CDM
19 Sergio García;35;Spain;77;RCD Espanyol de Barcelona;4.1M;Right;9;CF
A. Hložek;18;Czech Republic;76;AC Sparta Praha;16M;Right;20;ST
L. Janson;26;Argentina;75;Vélez Sarsfield;6M;Right;11;LW
21 D. Dessena;33;Italy;69;Brescia;850K;Right;27;CDM
21 A. Isako;28;Congo DR;72;Stade Malherbe Caen;2.1M;Right;37;RB
M. Schneiderlin;31;France;74;OGC Nice;3M;Right;6;CDM
N. Kilkenny;35;Australia;69;Western United FC;550K;Right;88;CDM
T. Antalyalı;26;Turkey;73;Galatasaray SK;3.6M;Right;4;CM
A. Gojak;24;Bosnia and Herzegovina;69;Dinamo Zagreb;2.2M;Right;8;CM
L. Aued;34;Argentina;73;Universidad Católica;1.4M;Left;11;CM
21 H. Pérez;31;Paraguay;76;;0;Right;17;RM
S. Medina;29;Colombia;75;CF Monterrey ;4.9M;Right;33;RB
F. Guilbert;26;France;76;RC Strasbourg Alsace;9M;Right;2;CB
L. Villalba;26;Argentina;72;Argentinos Juniors;2.5M;Left;6;LB
A. Jahanbakhsh;27;Iran;73;Feyenoord;3.2M;Right;9;RW
A. Ounas;24;Algeria;74;Napoli;6M;Left;33;CAM
17 N. Valdez;32;Paraguay;72;;0;Right;18;ST
A. Januzaj;26;Belgium;81;Real Sociedad;28M;Left;11;RW
Leonardo Lopes;22;Portugal;68;KSV Cercle Brugge;2.4M;Right;22;CAM
K. Miyoshi;24;Japan;72;Royal Antwerp FC;3.6M;Left;19;CAM
Chiquinho;25;Portugal;74;SC Braga;5.5M;Right;22;CAM
Luisinho Conradi;21;Brazil;71;Fortaleza;2M;Left;14;LB
A. Gilbey;26;England;66;Charlton Athletic;1.1M;Right;11;CM
P. Oniangué;32;Congo;69;Stade Malherbe Caen;925K;Right;6;CB
C. Rius;32;Argentina;71;Atlético Tucumán;1.5M;Right;12;RM
Riqui Puig;21;Spain;76;FC Barcelona;17M;Right;6;CAM
M. Eriksson;31;Sweden;69;Djurgårdens IF;1.2M;Left;7;CM
F. Bandinelli;26;Italy;69;Empoli;1.8M;Left;25;CM
Luimo Boas Santos;21;Brazil;79;Santos;21M;Right;9;CF
Pêpê;24;Portugal;72;Futebol Clube de Famalicão;3.2M;Right;88;CM
M. Aguirregaray;32;Uruguay;70;Estudiantes de La Plata;1.1M;Right;13;RB
W. Vaulks;27;Wales;71;Cardiff City;1.8M;Right;6;CDM
17 Alan;36;Brazil;74;SC Braga;275K;Right;30;CAM
J. Molina;33;Mexico;73;Club Deportivo Guadalajara;1.5M;Right;5;CB
Hugo Rubiães;25;Brazil;72;Fluminense;2.3M;Right;37;CDM
M. Esquivel;22;Argentina;68;Club Atlético Lanús;2.7M;Left;11;CAM
B. Mbeumo;21;France;72;Brentford;5.5M;Left;19;CAM
20 M. Sow;33;Senegal;74;Gazişehir Gaziantep F.K.;3.5M;Right;78;ST
J. Frimpong;20;Netherlands;74;Bayer 04 Leverkusen;9M;Right;30;RM
Kim Young Uk;30;Korea Republic;67;Jeju United FC;975K;Right;14;CM
M. Payero;22;Argentina;72;Middlesbrough;5M;Right;10;CM
J. Ikoné;23;France;79;LOSC Lille;25M;Left;10;CAM
J. Forster-Caskey;27;England;68;Charlton Athletic;1.4M;Left;8;CM
D. Furman;28;Poland;67;Wisła Płock;1M;Right;92;CM
18 Xabi Prieto;33;Spain;80;Real Sociedad;8.5M;Right;10;CM
21 Susaeta;32;Spain;75;Macarthur FC;4.5M;Right;33;CAM
20 Carles Planas;28;Spain;72;Girona FC;2.7M;Left;21;LB
M. Targett;25;England;77;Aston Villa;13M;Left;3;LB
Antonio Sánchez;24;Spain;72;RCD Mallorca;3.7M;Right;10;CAM
Yeray;26;Spain;81;Athletic Club de Bilbao;28M;Right;5;CB
M. Moralez;34;Argentina;75;New York City FC;2.6M;Right;10;CAM
C. Jones;20;England;73;Liverpool;7.5M;Right;17;CAM
R. Ibarra;30;Ecuador;73;Club América;2.9M;Right;30;RM
D. Rubio;28;Chile;70;Colorado Rapids;1.6M;Right;11;ST
Carles Gil;28;Spain;78;New England Revolution;14M;Left;22;CAM
V. Pajot;30;France;70;FC Metz;1.5M;Right;14;CDM
J. Soñora;24;United States;71;Club Atlético Banfield;2.8M;Right;20;CAM
P. Strand;26;Norway;67;SK Brann;1.2M;Right;9;RM
I. Slimani;33;Algeria;76;Olympique Lyonnais;4.8M;Right;20;ST
F. Cerro;33;Argentina;69;Club Atlético Aldosivi;850K;Right;18;CDM
K. Amian;23;France;73;Spezia;3.9M;Right;27;CB
J. Hernández;22;Colombia;75;Watford;9M;Right;29;ST
J. Kuchta;24;Czech Republic;75;SK Slavia Praha;8.5M;Right;16;ST
20 L. Perrin;33;France;78;AS Saint-Étienne;4.9M;Right;24;CB
Mosquera;33;Spain;74;SD Huesca;2.1M;Left;5;CDM
J. Cullen;25;Republic of Ireland;72;RSC Anderlecht;2.8M;Right;8;CM
Y. Maleh;22;Italy;69;Fiorentina;3.1M;Left;14;LM
21 Diego Castro;37;Spain;74;Perth Glory;1.4M;Right;17;LW
R. Schoofs;27;Belgium;71;KV Mechelen;2.1M;Left;16;CM
J. Baumgartlinger;33;Austria;78;Bayer 04 Leverkusen;7M;Right;15;CDM
G. Prömel;26;Germany;72;1. FC Union Berlin;2.9M;Right;21;CDM
Víctor Díaz;33;Spain;77;Granada CF;5.5M;Right;16;RB
O. Ighalo;32;Nigeria;75;Al Shabab;4.6M;Right;9;ST
C. Wood;29;New Zealand;79;Burnley;17.5M;Right;9;ST
K. Zouma;26;France;81;West Ham United;30M;Right;4;CB
T. Bakayoko;26;France;79;AC Milan;19.5M;Right;99;CDM
Louri Beretta;29;Brazil;81;RB Bragantino;25.5M;Right;7;ST
L. Benito;28;Switzerland;74;FC Girondins de Bordeaux;3.8M;Left;23;LB
Monchu;21;Spain;70;Granada CF;3.6M;Right;14;CM
E. Cañete;22;Argentina;71;Unión de Santa Fe;4.2M;Right;10;CAM
M. Rayhi;27;Morocco;70;Al Batin;1.7M;Right;11;RW
I. Doumbia;23;Côte d'Ivoire;74;SV Zulte Waregem;6.5M;Right;98;CDM
A. Mena;33;Ecuador;78;Club León;9M;Left;13;RM
João Schmidt;28;Brazil;72;Kawasaki Frontale;2.1M;Left;6;CDM
17 P. Ninkov;31;Serbia;68;Toulouse Football Club;550K;Right;24;CDM
I. Balliu;29;Albania;74;Rayo Vallecano;3.7M;Right;20;RB
L. Walsh;23;England;69;Swansea City;2.8M;Right;28;CAM
21 Marlon;23;Brazil;71;Trabzonspor;2.5M;Left;3;LWB
21 G. Sio;31;Côte d'Ivoire;72;Gençlerbirliği SK;1.9M;Left;13;ST
20 Markel Bergara;33;Spain;75;Getafe CF;3.2M;Right;5;CDM
18 T. Cahill;37;Australia;70;Millwall;475K;Right;7;ST
C. Keșerü;34;Romania;72;FCSB (Steaua);1.1M;Left;28;ST
M. Pereira Lage;24;Portugal;73;Angers SCO;4.4M;Right;27;LM
D. Bradarić;21;Croatia;75;LOSC Lille;8.5M;Left;29;LB
M. Marega;30;Mali;77;Al Hilal;10.5M;Right;17;ST
D. Vergara;24;Colombia;76;CF Monterrey ;10M;Right;10;RM
E. Krafth;26;Sweden;73;Newcastle United;3.3M;Right;17;RB
E. Ofori;26;Ghana;69;AIK;1.5M;Left;17;CM
K. D'Haene;31;Belgium;71;KV Kortrijk;1.4M;Left;30;LWB
Y. Hamache;21;France;70;Boavista FC;3.4M;Left;25;LB
Wu Xi;32;China PR;67;Shanghai Shenhua FC;800K;Right;15;CM
M. Vrančić;32;Bosnia and Herzegovina;72;Stoke City;1.9M;Left;8;CM
T. Ouwejan;24;Netherlands;72;FC Schalke 04;3.1M;Left;2;CDM
A. Diallo;25;Senegal;78;Paris Saint-Germain;17.5M;Left;22;CB
Marc Roca;24;Spain;77;FC Bayern München;14.5M;Left;22;CM
21 Diego Lopes;26;Brazil;73;Rio Ave FC;3.8M;Right;10;CAM
S. Kjær;32;Denmark;83;AC Milan;23.5M;Right;24;CB
21 K. Mirallas;32;Belgium;73;Gazişehir Gaziantep F.K.;2.4M;Right;27;LM
N. González;23;Argentina;77;Fiorentina;17M;Left;22;ST
J. Byrne;25;Republic of Ireland;70;APOEL Nicosia FC;1.9M;Right;29;CAM
K. Ansarifard;31;Iran;74;AEK Athens;3.6M;Right;10;ST
Zarraga;22;Spain;72;Athletic Club de Bilbao;5M;Right;19;CAM
A. Sepúlveda;30;Mexico;72;Club Necaxa;2.3M;Right;15;ST
B. Bereszyński;28;Poland;73;U.C. Sampdoria;2.8M;Right;24;RB
Son;27;Spain;73;Levante Unión Deportiva;3.2M;Right;2;RB
21 J. Mikel;33;Nigeria;70;Stoke City;975K;Right;13;CDM
J. Gastien;33;France;73;Clermont Foot 63;1.5M;Right;25;CDM
F. Jagiełło;22;Poland;68;Genoa;1.9M;Right;78;CAM
T. Bongonda;25;Belgium;77;KRC Genk;13M;Left;10;CAM
Cesinha;31;Brazil;75;Daegu FC;4.7M;Right;11;CAM
J. Denayer;26;Belgium;80;Olympique Lyonnais;24.5M;Right;5;CB
21 F. Renzetti;32;Italy;72;Chievo Verona;1.6M;Left;13;LB
21 L. Dálves;28;Uruguay;80;;0;Right;10;ST
D. Fomin;24;Russia;72;;0;Right;8;CM
J. Haberer;27;Germany;73;Sport-Club Freiburg;3.5M;Right;19;CM
I. Brizuela;30;Mexico;74;Club Deportivo Guadalajara;4.1M;Right;11;RM
G. Togni;23;Argentina;70;Club Atlético Independiente;2.4M;Left;11;LM
José Mari;33;Spain;71;Cádiz CF;925K;Right;6;CDM
L. Bénes;23;Slovakia;73;Borussia Mönchengladbach;4.3M;Left;22;CAM
D. Raum;23;Germany;73;TSG Hoffenheim;6M;Left;17;LB
S. Peña;25;Peru;72;Malmö FF;3.1M;Right;8;CAM
R. Walter;26;France;71;Sporting Kansas City;2.4M;Left;54;CM
Huang Bowen;33;China PR;69;Guangzhou FC;700K;Right;16;CDM
M. Ashimeru;23;Ghana;71;RSC Anderlecht;3.7M;Right;18;CAM
21 M. Harnik;33;Austria;71;SV Werder Bremen;1.2M;Right;14;ST
M. Demir;29;Turkey;72;Gazişehir Gaziantep F.K.;2.3M;Right;10;ST
D. Zapata;30;Colombia;83;Atalanta;35.5M;Right;91;ST
J. Lundstram;27;England;72;Rangers FC;2.7M;Right;4;CM
F. Mancuello;32;Argentina;73;Vélez Sarsfield;2.4M;Left;30;CM
15 Cicinho;27;Brazil;69;CD Numancia;900K;Right;22;RWB
P. Heise;30;Germany;69;Karlsruher SC;1.2M;Left;16;LB
L. Ponzio;39;Argentina;71;River Plate;375K;Right;23;CB
C. Amissi;31;Burundi;68;Al Taawoun;1M;Right;17;CF
C. Ortiz;32;Paraguay;77;CF Monterrey ;7M;Left;16;CDM
A. Androutsos;24;Greece;69;Olympiacos CFP;2.7M;Right;14;RM
H. Traorè;21;Côte d'Ivoire;71;U.S. Sassuolo Calcio;4.6M;Right;23;CAM
J. Justin;23;England;77;Leicester City;15.5M;Right;2;LWB
19 Nano;33;Spain;66;Unión Deportiva Almería;250K;Left;21;CDM
M. Knoll;30;Germany;67;FC St. Pauli;850K;Left;5;CDM
O. Bozanic;32;Australia;66;Central Coast Mariners;675K;Left;8;CM
R. Boudebouz;31;Algeria;74;AS Saint-Étienne;3.5M;Left;7;CAM
P. Zinckernagel;26;Denmark;75;Nottingham Forest;6.5M;Right;11;RM
Javi López;35;Spain;74;Adelaide United;1.3M;Right;21;RB
21 Cauê;31;Brazil;72;Belenenses SAD;1.6M;Right;8;CB
Walace;26;Brazil;73;Udinese Calcio;3.4M;Right;11;CDM
L. Klostermann;25;Germany;80;RB Leipzig;26.5M;Right;16;RB
N. Peñailillo;29;Chile;68;Unión de Santa Fe;1.1M;Left;18;LWB
R. Brown;25;England;67;Huddersfield Town;1.4M;Right;12;CAM
K. Toko Ekambi;28;Cameroon;78;Olympique Lyonnais;14M;Right;7;LW
